発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2004-12-16,-,-,-,カプコン,"ビューティフルジョー2 ブラックフィルムの謎",,4009,0,,太田潤一,,"スエカネクミコ|小手川宗行| 金原忍|大橋幸子|長野伸明","五木田岳彦| 林祐介|小林克良(音響監督)",カプコン,稲葉敦志,
2004-12-16,-,-,-,コナミ,"実況パワフルプロ野球11 超決定版",,4010,0,,,,,,,,
2004-12-16,-,-,-,任天堂,ドンキーコングジャングルビート,,4011,0,,小泉歓晃,,,横田真人,,清水隆雄,
2004-12-16,-,-,-,バンプレスト,スーパーロボット大戦GC,,3806,0,,,,,,,,
2004-12-22,-,-,-,エレクトロニック・アーツ,"ニード・フォー・スピード アンダーグラウンド2",,3889,0,,,,,,,,
2004-12-22,-,-,-,エレクトロニック・アーツ,"ロード・オブ・ザ・リング 中つ国第三紀",,3802,0,,,,,ハワード・ショア,J・R・R・トールキン|『指輪物語』,,
2004-12-22,-,-,-,カプコン,"バイオハザード ダブル フィーチャー",,4013,0,,,,,,,,
2005-01-06,-,-,-,バンダイ,デジモンワールドX,,3807,0,,,,,,,,
2005-01-13,-,-,-,エレクトロニック・アーツ,"ゴールデンアイ ダークエージェント",,4014,0,,,,,,,,
2005-01-13,-,-,-,エレクトロニック・アーツ,"ザ・アーブズ シムズ・イン・ザ・シティ",,3824,0,,,,,,,,
